,tweet_id,favorites,retweets
1194,740359016048689152,3579,953
1195,740365076218183684,2689,486
1196,740373189193256964,37596,14877
1197,740676976021798912,19672,7608
1198,740699697422163968,3073,875
1199,740711788199743490,3695,1049
1200,740995100998766593,6941,3110
1201,741067306818797568,10232,3462
1202,741303864243200000,9530,3604
1203,741438259667034112,3983,930
1204,741743634094141440,8863,3102
1205,741793263812808706,4930,1683
1206,742150209887731712,5591,1752
1207,742161199639494656,4703,1529
1208,742385895052087300,7382,2233
1209,742423170473463808,10696,4270
1210,742465774154047488,7859,4330
1211,742528092657332225,4831,2218
1212,743210557239623680,4167,1531
1213,743222593470234624,6717,2135
1214,743253157753532416,4570,1348
1215,743510151680958465,8568,4131
1216,743545585370791937,3828,1052
1217,743595368194129920,20062,7337
1218,743609206067040256,4863,1538
1219,743895849529389061,3952,1071
1220,743980027717509120,4507,1220
1221,744234799360020481,129827,78586
1222,744334592493166593,7352,2388
1223,744709971296780288,6076,1742
1224,744971049620602880,8558,3005
1225,744995568523612160,3245,705
1226,745057283344719872,7854,2557
1227,745314880350101504,7775,3092
1228,745422732645535745,9318,2740
1229,745433870967832576,7730,2849
1230,745712589599014916,7577,2609
1231,745789745784041472,4384,1198
1232,746056683365994496,3857,922
1233,746131877086527488,7492,2468
1234,746369468511756288,6570,1836
1235,746507379341139972,5039,1215
1236,746726898085036033,6572,2019
1237,746790600704425984,5294,1792
1238,746818907684614144,5750,1925
1239,746872823977771008,6511,2404
1240,746906459439529985,3136,332
1241,747103485104099331,10444,4498
1242,747204161125646336,3684,1027
1243,747219827526344708,5726,1769
1244,747461612269887489,4214,1164
1245,747512671126323200,6048,1779
1246,747594051852075008,4020,1190
1247,747600769478692864,2524,612
1248,747816857231626240,5288,1303
1249,747844099428986880,3053,837
1250,747885874273214464,3210,1106
1251,747933425676525569,7224,2862
1252,747963614829678593,6314,2420
1253,748307329658011649,3993,802
1254,748324050481647620,4036,862
1255,748346686624440324,5676,1391
1256,748568946752774144,2386,763
1257,748575535303884801,6624,2239
1258,748692773788876800,4606,1491
1259,748699167502000129,5173,1798
1260,748705597323898880,3012,1057
1261,748932637671223296,6387,2531
1262,748977405889503236,11136,3721
1263,749036806121881602,3389,886
1264,749064354620928000,5230,1698
1265,749317047558017024,6004,2482
1266,749395845976588288,9386,3904
1267,749403093750648834,2863,612
1268,749417653287129088,6648,1880
1269,749774190421639168,5068,1483
1270,749981277374128128,5570,2754
1271,749996283729883136,3307,907
1272,750011400160841729,3538,1021
1273,750026558547456000,2958,882
1274,750041628174217216,3465,695
1275,750056684286914561,3408,999
1276,750071704093859840,8572,3744
1277,750086836815486976,2362,611
1278,750101899009982464,3318,947
1279,750117059602808832,4702,1449
1280,750132105863102464,3953,1421
1281,750147208377409536,3376,1086
1282,750383411068534784,4958,1288
1283,750429297815552001,14408,4874
1284,750506206503038976,4871,1294
1285,750719632563142656,14475,5666
1286,750868782890057730,5248,1573
1287,751132876104687617,5568,1463
1288,751205363882532864,6883,2057
1289,751251247299190784,13648,6591
1290,751456908746354688,3486,1116
1291,751538714308972544,5492,1429
1292,751583847268179968,4810,1250
1293,751598357617971201,8608,3402
1294,751830394383790080,6348,2197
1295,751937170840121344,5713,1507
1296,752173152931807232,6509,2087
1297,752309394570878976,0,18769
1298,752334515931054080,4191,1249
1299,752519690950500352,8071,3872
1300,752660715232722944,4825,1772
1301,752682090207055872,6577,1814
1302,752917284578922496,7501,1765
1303,753026973505581056,4240,1100
1304,753294487569522689,3727,1171
1305,753375668877008896,8313,2623
1306,753398408988139520,6330,2159
1307,753420520834629632,8640,4018
1308,753655901052166144,6395,2458
1309,754011816964026368,9614,4049
1310,754120377874386944,8579,2640
1311,754449512966619136,4108,830
1312,754482103782404096,5802,2193
1313,754747087846248448,2818,588
1314,754856583969079297,7529,2846
1315,754874841593970688,0,9062
1316,755110668769038337,23215,12468
1317,755206590534418437,18018,6067
1318,755955933503782912,8012,3250
1319,756275833623502848,7050,1723
1320,756288534030475264,28198,14844
1321,756303284449767430,4330,1218
1322,756526248105566208,11386,4109
1323,756651752796094464,5552,1493
1324,756939218950160384,7267,2269
1325,756998049151549440,6863,2241
1326,757354760399941633,4947,1607
1327,757393109802180609,6391,1978
1328,757400162377592832,16597,7664
1329,757596066325864448,4761,1197
1330,757597904299253760,0,329
1331,757611664640446465,4979,1257
1332,757725642876129280,4970,1371
1333,757729163776290825,0,9181
1334,757741869644341248,7540,3661
1335,758041019896193024,2972,429
1336,758355060040593408,3760,1229
1337,758405701903519748,5700,2177
1338,758467244762497024,5266,2500
1339,758474966123810816,4178,1117
1340,758740312047005698,6285,1809
1341,758828659922702336,12259,4326
1342,758854675097526272,3875,1012
1343,759047813560868866,7156,2269
1344,759099523532779520,15919,4745
1345,759159934323924993,0,1335
1346,759197388317847553,6654,2197
1347,759447681597108224,9332,2778
1348,759557299618865152,5153,1326
1349,759566828574212096,0,24001
1350,759793422261743616,6545,2150
1351,759846353224826880,7360,2242
1352,759923798737051648,16115,6424
1353,760190180481531904,6258,2049
1354,760252756032651264,4305,983
1355,760290219849637889,29343,12967
1356,760539183865880579,8310,4101
1357,760641137271070720,5419,1458
1358,760656994973933572,7260,2178
1359,760893934457552897,4191,1095
1360,761004547850530816,12360,3904
1361,761227390836215808,5851,1755
1362,761292947749015552,4915,1246
1363,761334018830917632,5722,1644
1364,761371037149827077,0,20252
1365,761599872357261312,4528,1321
1366,761672994376806400,54382,32932
1367,761745352076779520,4662,970
1368,761750502866649088,0,4475
1369,761976711479193600,5932,2285
1370,762035686371364864,35058,17693
1371,762316489655476224,5305,1277
1372,762464539388485633,11384,4781
1373,762471784394268675,12442,7462
1374,762699858130116608,13391,4136
1375,763103485927849985,8064,2568
1376,763183847194451968,5947,1677
1377,763837565564780549,13886,4771
1378,764259802650378240,6650,1720
1379,764857477905154048,7029,1999
1380,765222098633691136,12764,3846
1381,765371061932261376,7766,2442
1382,765395769549590528,20360,3096
1383,765669560888528897,5698,1389
1384,765719909049503744,7934,2443
1385,766008592277377025,4102,564
1386,766069199026450432,4712,994
1387,766078092750233600,0,2939
1388,766313316352462849,7428,2139
1389,766423258543644672,6611,1801
1390,766693177336135680,4438,903
1391,766793450729734144,5587,1546
1392,767122157629476866,11117,3221
1393,767191397493538821,13486,4332
1394,767500508068192258,8207,2651
1395,767754930266464257,17612,6122
1396,767884188863397888,5242,1603
1397,768193404517830656,12007,4018
1398,768473857036525572,14950,3895
1399,768596291618299904,5535,1450
1400,768609597686943744,4536,1368
1401,768855141948723200,4609,1020
1402,768970937022709760,15866,7435
1403,769212283578875904,5922,1941
1404,769695466921623552,7037,1897
1405,769940425801170949,34612,10972
1406,770069151037685760,8299,2610
1407,770093767776997377,0,3462
1408,770293558247038976,6850,1688
1409,770414278348247044,6915,2347
1410,770655142660169732,8046,1980
1411,770772759874076672,5701,1598
1412,770787852854652928,5444,1391
1413,771004394259247104,0,250
1414,771014301343748096,6958,1753
1415,771102124360998913,6833,1630
1416,771136648247640064,10113,3309
1417,771171053431250945,0,8584
1418,771380798096281600,11615,5818
1419,771500966810099713,9084,2969
1420,771770456517009408,13224,3866
1421,772102971039580160,4402,1051
1422,772114945936949249,2978,540
